name,total,year_2026,year_2025,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015
"Мария",26487,384,1764,1638,1757,1907,2172,2218,2689,2612,2786,3201,3359
"Анна",25252,415,1914,1896,1933,1882,2137,2084,2549,2469,2596,2662,2715
"София",20938,385,1828,1944,1980,2229,2322,2202,2467,649,0,2367,2565
"Виктория",20397,293,1315,1347,1350,1463,1607,1705,2033,2083,2125,2561,2515
"Алиса",19601,223,1055,1111,1233,1489,1871,1726,2157,2140,2199,2253,2144
"Полина",18444,290,1158,1181,1238,1305,1589,1601,1788,1888,1961,2276,2169
"Елизавета",16998,236,1013,1055,1099,1215,1369,1435,1733,1680,1805,2047,2311
"Александра",16851,298,1180,1186,1156,1283,1373,1381,1573,1632,1816,2034,1939
"Варвара",16718,339,1331,1321,1277,1238,1378,1282,1612,1547,1676,1835,1882
"Анастасия",16562,132,602,705,819,1003,1178,1310,1700,1950,2084,2497,2582
"Ева",16491,329,1528,1493,1520,1512,1636,1446,1645,1528,1424,1274,1156
"Василиса",14356,338,1464,1351,1177,1212,1170,1052,1316,1265,1240,1436,1335
"Екатерина",14239,219,922,909,880,947,1050,1077,1354,1547,1672,1850,1812
"Дарья",14084,160,650,704,842,883,1051,1123,1457,1487,1661,1971,2095
"Ксения",13718,198,865,852,966,1019,1191,1110,1390,1344,1452,1688,1643
"Арина",13139,200,905,866,942,947,1009,1056,1279,1318,1398,1677,1542
"Вероника",12214,174,732,801,836,897,1033,1097,1438,1252,1285,1314,1355
"Милана",10689,109,586,682,786,880,1029,1035,1188,1082,1079,1055,1178
"Валерия",9986,197,790,752,699,733,745,733,941,911,1020,1137,1328
"Кира",8961,207,750,785,792,738,825,763,830,792,789,828,862
"Мирослава",8146,220,1019,959,874,800,743,675,620,625,601,570,440
"Вера",7928,210,786,638,591,657,646,618,728,690,713,839,812
"Ульяна",7621,108,451,459,478,540,659,636,799,815,820,900,956
"София, Софья",6983,0,0,0,0,0,0,0,0,2557,3783,643,0
"Таисия",6841,152,525,556,518,476,533,546,659,696,736,742,702
"Амина",6602,104,643,656,682,697,636,588,600,530,493,498,475
"Софья",6556,78,391,406,451,530,617,634,798,217,0,1118,1316
"Есения",6311,183,870,833,698,658,632,413,455,450,391,478,250
"Алина",6078,96,478,436,479,484,574,540,629,543,570,621,628
"Маргарита",5896,87,390,421,392,369,409,456,535,622,635,808,772
"Диана",5217,85,384,407,416,458,522,427,508,452,451,548,559
"Алёна",5214,65,273,283,315,340,425,491,555,559,613,585,710
"Сафия",4996,104,523,528,579,601,530,459,402,349,356,304,261
"Эмилия",4756,134,505,489,478,432,538,423,478,378,316,324,261
"Кристина",4665,44,212,251,275,325,380,406,484,484,518,619,667
"Агата",4260,126,526,500,481,447,446,381,365,293,240,244,211
"Ольга",4230,50,246,238,268,281,317,324,426,460,454,550,616
"Майя",4161,75,421,385,352,391,422,425,427,326,321,349,267
"Стефания",4024,61,295,315,356,359,446,424,418,362,354,341,293
"Юлия",4007,50,228,226,260,252,299,317,435,441,451,528,520
"Мия",3979,111,545,503,444,553,516,395,364,289,157,85,17
"Ангелина",3927,89,312,311,332,353,308,356,381,349,327,393,416
"Марьям",3881,93,415,490,446,475,352,327,316,285,243,225,214
"Аделина",3677,104,445,399,384,351,374,302,294,286,242,259,237
"Евгения",3380,48,257,244,240,264,275,292,338,330,326,389,377
"Яна",3296,45,240,222,241,251,320,278,324,307,324,375,369
"Амелия",3184,83,446,375,320,309,356,298,264,259,184,157,133
"Ника",3135,54,212,237,236,241,273,349,403,307,288,287,248
"Злата",3110,57,263,249,202,219,260,251,282,307,305,357,358
"Татьяна",3039,49,207,170,171,191,229,235,326,309,314,413,425
"Алия",2979,93,408,363,370,351,262,247,240,203,169,149,124
"Ясмина",2939,81,313,336,307,341,279,216,252,223,191,227,173
"Николь",2889,58,291,264,238,298,317,291,310,224,198,212,188
"Аиша",2845,66,350,388,418,401,318,197,243,122,129,135,78
"Оливия",2542,73,349,301,251,279,284,224,211,194,145,156,75
"Елена",2338,19,144,151,138,144,174,200,214,231,279,323,321
"Дарина",2297,50,160,169,180,175,222,222,228,257,218,239,177
"Надежда",2242,42,180,162,150,153,199,173,213,212,218,261,279
"Айлин",2196,105,450,286,198,210,208,180,156,115,135,104,49
"Фатима",2168,38,213,257,257,282,235,185,169,160,131,146,95
"Нина",2159,88,247,216,185,172,167,152,194,173,198,192,175
"Элина",2152,41,187,166,157,170,170,177,195,191,192,243,263
"Ирина",2117,19,45,78,127,137,133,178,195,230,292,323,360
"Аврора",2085,121,410,281,218,235,222,180,160,116,85,42,15
"Мира",1929,75,302,261,274,190,179,181,144,134,107,57,25
"Ариана",1842,34,163,172,187,182,198,217,185,123,125,131,125
"Асия",1640,65,273,286,239,225,143,166,125,48,34,28,8
"Амира",1603,44,181,168,166,170,137,150,156,151,112,88,80
"Ярослава",1601,36,157,131,79,63,122,72,132,168,189,202,250
"Милена",1483,15,53,92,59,108,118,124,160,175,174,195,210
"Зоя",1478,46,175,131,106,123,126,99,117,144,141,144,126
"Марина",1425,7,46,65,47,78,93,134,153,153,191,194,264
"Мадина",1404,24,58,143,148,156,118,140,150,141,108,105,113
"Любовь",1370,33,148,103,116,84,109,99,117,94,140,160,167
"Раяна",1368,16,141,158,117,177,189,151,142,113,64,58,42
"Самира",1336,21,85,95,118,114,136,140,133,129,124,140,101
"Малика",1336,20,86,92,136,143,118,100,140,125,125,127,124
"Светлана",1234,0,36,34,0,44,114,86,168,149,180,218,205
"Агния",1189,43,102,59,92,98,67,82,96,106,140,163,141
"Лилия",1160,24,103,113,89,92,105,51,75,114,123,117,154
"Лидия",1032,16,66,48,41,48,66,63,117,133,138,149,147
"Карина",1015,14,65,40,56,66,77,80,143,109,86,125,154
"Камила",1014,7,102,135,145,130,81,70,98,28,20,104,94
"Амалия",944,25,92,122,95,65,86,97,94,93,95,47,33
"Серафима",922,19,59,68,66,21,65,70,79,118,130,144,83
"Антонина",921,9,65,56,18,10,56,78,123,115,120,120,151
"Лейла",918,20,138,78,69,87,87,77,58,109,101,32,62
"Айша",915,26,134,134,177,105,130,113,47,32,17,0,0
"Камилла",893,7,61,78,80,80,78,77,102,31,56,122,121
"Адель",891,55,216,196,158,83,69,29,29,0,15,24,17
"Салиха",864,7,107,143,172,198,143,87,0,7,0,0,0
"Марьяна",833,21,34,38,46,49,79,60,111,111,94,89,101
"Эмма",830,43,97,66,69,57,138,103,85,40,66,41,25
"Теона",822,22,101,111,76,66,123,112,108,83,20,0,0
"Альфия",820,24,62,122,159,180,103,124,46,0,0,0,0
"Каролина",794,22,55,37,19,62,42,72,125,112,67,97,84
"Хадиджа",792,22,112,142,126,124,116,61,9,54,19,0,7
"Марта",759,19,66,27,53,43,62,57,71,76,75,98,112
"Сабина",753,0,0,64,61,106,61,90,74,76,73,87,61
"Мила",740,0,23,22,32,84,62,108,84,75,66,63,121
"Лея",698,32,132,81,65,56,86,84,62,57,25,18,0
"Мелания",691,7,18,0,26,29,71,61,145,126,183,7,18
"Олеся",674,0,11,31,8,0,27,54,49,76,93,150,175
"Сумая",633,19,64,63,116,81,82,69,38,18,43,25,15
"Аглая",633,22,94,99,54,47,45,45,41,29,45,62,50
"Марианна",615,0,14,15,8,17,39,45,90,88,90,118,91
"Мелисса",600,23,89,103,77,63,30,49,66,48,21,18,13
"Афина",600,27,115,127,102,109,83,22,0,8,0,7,0
"Владислава",600,0,32,18,10,29,42,51,52,97,69,107,93
"Наталья",563,0,8,0,16,17,48,46,65,66,29,130,138
"Сара",525,32,109,79,91,56,36,60,0,19,34,9,0
